group_id;group_label;group_weight;criterion_id;criterion_label;within_group_weight
langlebigkeit;Langlebigkeit;0.2;lebensdauer;Lebensdauer MW [a];1
wirtschaftlichkeit;Wirtschaftlichkeit;0.2;pflegeaufwand;Pflegeaufwand [0-3];0.5
wirtschaftlichkeit;Wirtschaftlichkeit;0.2;groesse_baumrigolen;Grösse Baumrigolen [m³] (Initialkosten);0.5
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.1;klimaangepasst;Klimaangepasst [0-3];0.25
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.1;geeignet_stadtbaum;geeignet als Stadtbaum [0-3];0.25
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.1;kronenbreite;Kronenbreite MW [m];0.125
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.1;biodiversitaet;Biodiversitäts Index [1-5];0.125
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.1;kuehlung;Kühlung MW [°C];0.125
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.1;regenwasser;Regenwasserspeicherung MW [l/d];0.125
kreislauffaehigkeit;Kreislauffähigkeit;0.25;recyclingpotential;Recyclingpotential [0-3];1
umweltwirkung;Umweltwirkung;0.25;co2_bindung;CO2-Bindung MW [kg CO2/a];1
