baumkategorie;baumart;lebensdauer;klimaangepasst;geeignet_stadtbaum;kronenbreite;biodiversitaet;kuehlung;co2_bindung;regenwasser;groesse_baumrigolen;pflegeaufwand;recyclingpotential
Grosskronige Arten;Quercus robur (Stieleiche);100;2;1;17.5;4.7;5;50;325;38;2;3
Grosskronige Arten;Quercus petraea (Traubeneiche);100;2;2;17.5;4.4;5;50;325;38;2;3
Grosskronige Arten;Tilia tomentosa (Silber-Linde);80;3;3;17.5;3.6;5;50;325;38;3;2
Mittelgrosse Arten;Tilia cordata (Winterlinde);80;2;3;13.5;4.4;3;37.5;200;38;3;2
Grosskronige Arten;Tilia × europaea ‘Pallida’ (Kaiser-Linde, Holländische Linde);100;2;3;15;4;5;50;325;38;2;2
Grosskronige Arten;Liriodendron tulipifera (Tulpenbaum);80;1;1;15;2;5;50;325;38;2;2
Mittelgrosse Arten;Liquidambar styraciflua ‘Worplesdon’ (Amberbaum);70;2;1;9;1.4;3;37.5;200;24;3;2
Mittelgrosse Arten;Koelreuteria paniculata (Blasenbaum);75;1;2;6.5;3;3;37.5;200;13;3;1
Mittelgrosse Arten;Zelkova serrata (Japanische Zelkove);100;2;3;12.5;2.5;3;37.5;200;38;3;3
Mittelgrosse Arten;Aesculus flava (Gelbe Rosskastanie);80;1;2;10;2.4;3;37.5;200;24;2;2
Mittelgrosse Arten;Parrotia persica (Eisenholzbaum);80;2;2;8;2;3;37.5;200;24;3;3
Kleine Arten;Ulmus ‘New Horizon’ (Hybridulme);100;3;3;5.5;2.3;1.5;27.5;115;13;2;3
Kleine Arten;Acer campestre ‘Elsrijk’ (Feldahorn);80;3;3;5;4.3;1.5;27.5;115;13;3;2
Mittelgrosse Arten;Celtis australis (Südlicher Zürgelbaum);85;3;2;12.5;2.2;3;37.5;200;38;3;2
Mittelgrosse Arten;Ostrya carpinifolia (Hopfenbuche);80;3;3;10;2.4;3;37.5;200;24;3;3
Kleine Arten;Sorbus aria ‘Magnifica’ (Mehlbeere);75;2;3;5.5;4.1;1.5;27.5;115;13;3;2
Kleine Arten;Sorbus latifolia ‘Henk Vink’ (Breitblättrige Mehlbeere);85;2;2;5;3.1;1.5;27.5;115;13;3;2
Mittelgrosse Arten;Gleditsia triacanthos ‘Skyline’ (dornenlos);80;3;3;12.5;1.9;3;37.5;200;38;3;2
Mittelgrosse Arten;Juglans nigra (Schwarznuss);85;1;1;9;2.7;3;37.5;200;24;1;3
Kleine Arten;Prunus padus ‘Schloss Tiefurt’ (Traubenkirsche);65;1;2;7;4.1;1.5;27.5;115;13;1;2
Kleine Arten;Malus tschonoskii (Woll-Apfel);80;1;1;3;2.8;1.5;27.5;115;6;1;1
Mittelgrosse Arten;Corylus colurna (Baumhasel);80;3;3;10;2.4;3;37.5;200;24;3;2
Kleine Arten;Amelanchier lamarckii (Felsenbirne);50;2;2;4;4.5;1.5;27.5;115;6;3;1
Kleine Arten;Cornus mas (Kornelkirsche);80;2;1;4;4;1.5;27.5;115;6;3;3
Kleine Arten;Pyrus calleryana ‘Chanticleer’ (Chinesische Zierbirne);65;2;2;4;2;1.5;27.5;115;6;3;2
