group_id;group_label;group_weight;criterion_id;criterion_label;within_group_weight
langlebigkeit;Langlebigkeit;0.2;lebensdauer;Lebensdauer [a];1
wirtschaftlichkeit;Wirtschaftlickeit;0.2;unterhalt_100a;Unterhaltskosten (100a) [CHF];0.5
wirtschaftlichkeit;Wirtschaftlickeit;0.2;initialkosten_100a;Initialkosten (100a) [CHF];0.5
umweltwirkung;Umweltwirkung;0.1;co2_100a;CO2-Emissionen (100a) [kg CO2e];0.5
umweltwirkung;Umweltwirkung;0.1;graueEnergie_100a;Graue Energie (100a) [kWh];0.5
kreislauffaehigkeit;Kreislauffähigkeit;0.1;recyclingfaehigkeit;Recyclingfähigkeit [0-2];0.333333333
kreislauffaehigkeit;Kreislauffähigkeit;0.1;lokaleMaterialien;Lokale Materialien [0-1];0.333333333
kreislauffaehigkeit;Kreislauffähigkeit;0.1;modulareErneuerbarkeit;Modulare Erneuerbarkeit [0-2];0.333333333
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;versickerung;Versickerungsleistung [0-1];0.333333333
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;oberflaechentemperatur;Oberflächentemperatur [Score];0.333333333
multifunktionale_nutzungsqualitaet;Multifunktionale Nutzungsqualität;0.4;befahrbarkeit;Befahrbarkeit [1-5];0.333333333
