belagskategorie;option;bewertungskategorie;wert;gewicht;group_id;min_wert;max_wert;score_normiert
Asphalt;Recyclingasphalt;lebensdauer;22,50;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,2142857142857143
Asphalt;Recyclingasphalt;versickerung;1,00;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;1,0000000000000000
Asphalt;Recyclingasphalt;oberflaechentemperatur;58,40;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,0000000000000000
Asphalt;Recyclingasphalt;befahrbarkeit;5,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000
Asphalt;Recyclingasphalt;kosten;100,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,8333333333333334
Asphalt;Recyclingasphalt;unterhalt;4,00;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,7142857142857143
Asphalt;Recyclingasphalt;co2;45,00;0,180;umweltbelastung;17,5;72,5;0,5000000000000000
Asphalt;Recyclingasphalt;graueEnergie;295,00;0,120;umweltbelastung;70,0;375,0;0,2622950819672131
Asphalt;Recyclingasphalt;recyclingfaehigkeit;0,30;0,080;kreislauffaehigkeit;0,2;1,0;0,1250000000000000
Asphalt;Recyclingasphalt;lokaleMaterialien;1,00;0,060;kreislauffaehigkeit;0,4;1,0;1,0000000000000000
Asphalt;Recyclingasphalt;modulareErneuerbarkeit;1,00;0,060;kreislauffaehigkeit;1,0;5,0;0,0000000000000000
Asphalt;Recyclingasphalt;barrierefreiheit;5,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;1,0000000000000000
Asphalt;Sickerasphalt;lebensdauer;27,50;0,100;langlebigkeit_wirtschaftlichkeit;15,0;50,0;0,3571428571428572
Asphalt;Sickerasphalt;versickerung;0,35;0,075;multifunktionale_nutzungsqualitaet;0,2;1,0;0,1874999999999999
Asphalt;Sickerasphalt;oberflaechentemperatur;55,50;0,075;multifunktionale_nutzungsqualitaet;26,0;58,4;0,0895061728395061
Asphalt;Sickerasphalt;befahrbarkeit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000
Asphalt;Sickerasphalt;kosten;100,00;0,075;langlebigkeit_wirtschaftlichkeit;50,0;350,0;0,8333333333333334
Asphalt;Sickerasphalt;unterhalt;6,50;0,075;langlebigkeit_wirtschaftlichkeit;2,0;9,0;0,3571428571428571
Asphalt;Sickerasphalt;co2;60,00;0,180;umweltbelastung;17,5;72,5;0,2272727272727273
Asphalt;Sickerasphalt;graueEnergie;345,00;0,120;umweltbelastung;70,0;375,0;0,0983606557377049
Asphalt;Sickerasphalt;recyclingfaehigkeit;0,20;0,080;kreislauffaehigkeit;0,2;1,0;0,0000000000000000
Asphalt;Sickerasphalt;lokaleMaterialien;0,65;0,060;kreislauffaehigkeit;0,4;1,0;0,4166666666666667
Asphalt;Sickerasphalt;modulareErneuerbarkeit;1,00;0,060;kreislauffaehigkeit;1,0;5,0;0,0000000000000000
Asphalt;Sickerasphalt;barrierefreiheit;3,00;0,050;multifunktionale_nutzungsqualitaet;1,0;5,0;0,5000000000000000
