szenario;baumkategorie;baumart;MCA_gesamtscore
Szenario 0: Baseline (IST);Kleine Arten;Ulmus ‘New Horizon’ (Hybridulme);0,719612822522305
Szenario 0: Baseline (IST);Grosskronige Arten;Quercus petraea (Traubeneiche);0,645454545454546
Szenario 0: Baseline (IST);Mittelgrosse Arten;Ostrya carpinifolia (Hopfenbuche);0,644706112852665
Szenario 0: Baseline (IST);Mittelgrosse Arten;Zelkova serrata (Japanische Zelkove);0,641091954022989
Szenario 0: Baseline (IST);Grosskronige Arten;Tilia × europaea ‘Pallida’ (Kaiser-Linde, Holländische Linde);0,630773249738767
Szenario 0: Baseline (IST);Grosskronige Arten;Quercus robur (Stieleiche);0,600000000000000
Szenario 0: Baseline (IST);Mittelgrosse Arten;Corylus colurna (Baumhasel);0,594706112852665
Szenario 0: Baseline (IST);Kleine Arten;Acer campestre ‘Elsrijk’ (Feldahorn);0,568191714894301
Szenario 0: Baseline (IST);Mittelgrosse Arten;Juglans nigra (Schwarznuss);0,565803291536050
Szenario 0: Baseline (IST);Grosskronige Arten;Tilia tomentosa (Silber-Linde);0,553333333333333
Szenario 0: Baseline (IST);Mittelgrosse Arten;Gleditsia triacanthos ‘Skyline’ (dornenlos);0,552001044932079
Szenario 0: Baseline (IST);Mittelgrosse Arten;Tilia cordata (Winterlinde);0,543328108672936
Szenario 0: Baseline (IST);Mittelgrosse Arten;Parrotia persica (Eisenholzbaum);0,531748955067921
Szenario 0: Baseline (IST);Mittelgrosse Arten;Celtis australis (Südlicher Zürgelbaum);0,526546499477534
Szenario 0: Baseline (IST);Kleine Arten;Sorbus aria ‘Magnifica’ (Mehlbeere);0,496885549795033
Szenario 0: Baseline (IST);Mittelgrosse Arten;Aesculus flava (Gelbe Rosskastanie);0,494706112852665
Szenario 0: Baseline (IST);Kleine Arten;Cornus mas (Kornelkirsche);0,482072984486778
Szenario 0: Baseline (IST);Kleine Arten;Sorbus latifolia ‘Henk Vink’ (Breitblättrige Mehlbeere);0,470009896712483
Szenario 0: Baseline (IST);Kleine Arten;Prunus padus ‘Schloss Tiefurt’ (Traubenkirsche);0,462057963588136
Szenario 0: Baseline (IST);Kleine Arten;Malus tschonoskii (Woll-Apfel);0,410442890442890
Szenario 0: Baseline (IST);Mittelgrosse Arten;Koelreuteria paniculata (Blasenbaum);0,406103056426332
Szenario 0: Baseline (IST);Kleine Arten;Pyrus calleryana ‘Chanticleer’ (Chinesische Zierbirne);0,391769954183747
Szenario 0: Baseline (IST);Mittelgrosse Arten;Liquidambar styraciflua ‘Worplesdon’ (Amberbaum);0,382534893267652
Szenario 0: Baseline (IST);Grosskronige Arten;Liriodendron tulipifera (Tulpenbaum);0,370470219435737
Szenario 0: Baseline (IST);Kleine Arten;Amelanchier lamarckii (Felsenbirne);0,319648742062535
Szenario 1: Forschungsfokus;Kleine Arten;Ulmus ‘New Horizon’ (Hybridulme);0,806766186399807
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Juglans nigra (Schwarznuss);0,804263322884013
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Zelkova serrata (Japanische Zelkove);0,760272988505747
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Ostrya carpinifolia (Hopfenbuche);0,733989028213166
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Parrotia persica (Eisenholzbaum);0,705749738766980
Szenario 1: Forschungsfokus;Kleine Arten;Cornus mas (Kornelkirsche);0,666287476890925
