szenario;baumkategorie;baumart;MCA_gesamtscore
Szenario 0: Baseline (IST);Grosskronige Arten;Quercus petraea (Traubeneiche);0,74545
Szenario 0: Baseline (IST);Grosskronige Arten;Tilia × europaea ‘Pallida’ (Kaiser-Linde, Holländische Linde);0,73077
Szenario 0: Baseline (IST);Grosskronige Arten;Quercus robur (Stieleiche);0,70000
Szenario 0: Baseline (IST);Grosskronige Arten;Tilia tomentosa (Silber-Linde);0,65333
Szenario 0: Baseline (IST);Kleine Arten;Ulmus ‘New Horizon’ (Hybridulme);0,65038
Szenario 0: Baseline (IST);Mittelgrosse Arten;Ostrya carpinifolia (Hopfenbuche);0,58915
Szenario 0: Baseline (IST);Mittelgrosse Arten;Zelkova serrata (Japanische Zelkove);0,58554
Szenario 0: Baseline (IST);Mittelgrosse Arten;Corylus colurna (Baumhasel);0,53915
Szenario 0: Baseline (IST);Mittelgrosse Arten;Juglans nigra (Schwarznuss);0,51025
Szenario 0: Baseline (IST);Kleine Arten;Acer campestre ‘Elsrijk’ (Feldahorn);0,49896
Szenario 0: Baseline (IST);Mittelgrosse Arten;Gleditsia triacanthos ‘Skyline’ (dornenlos);0,49645
Szenario 0: Baseline (IST);Mittelgrosse Arten;Tilia cordata (Winterlinde);0,48777
Szenario 0: Baseline (IST);Mittelgrosse Arten;Parrotia persica (Eisenholzbaum);0,47619
Szenario 0: Baseline (IST);Mittelgrosse Arten;Celtis australis (Südlicher Zürgelbaum);0,47099
Szenario 0: Baseline (IST);Grosskronige Arten;Liriodendron tulipifera (Tulpenbaum);0,47047
Szenario 0: Baseline (IST);Mittelgrosse Arten;Aesculus flava (Gelbe Rosskastanie);0,43915
Szenario 0: Baseline (IST);Kleine Arten;Sorbus aria ‘Magnifica’ (Mehlbeere);0,42765
Szenario 0: Baseline (IST);Kleine Arten;Cornus mas (Kornelkirsche);0,41284
Szenario 0: Baseline (IST);Kleine Arten;Sorbus latifolia ‘Henk Vink’ (Breitblättrige Mehlbeere);0,40078
Szenario 0: Baseline (IST);Kleine Arten;Prunus padus ‘Schloss Tiefurt’ (Traubenkirsche);0,39283
Szenario 0: Baseline (IST);Mittelgrosse Arten;Koelreuteria paniculata (Blasenbaum);0,35055
Szenario 0: Baseline (IST);Kleine Arten;Malus tschonoskii (Woll-Apfel);0,34121
Szenario 0: Baseline (IST);Mittelgrosse Arten;Liquidambar styraciflua ‘Worplesdon’ (Amberbaum);0,33055
Szenario 0: Baseline (IST);Kleine Arten;Pyrus calleryana ‘Chanticleer’ (Chinesische Zierbirne);0,32254
Szenario 0: Baseline (IST);Kleine Arten;Amelanchier lamarckii (Felsenbirne);0,25042
Szenario 1: Forschungsfokus;Grosskronige Arten;Quercus petraea (Traubeneiche);0,82386
Szenario 1: Forschungsfokus;Grosskronige Arten;Quercus robur (Stieleiche);0,81250
Szenario 1: Forschungsfokus;Grosskronige Arten;Tilia × europaea ‘Pallida’ (Kaiser-Linde, Holländische Linde);0,70769
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Juglans nigra (Schwarznuss);0,66537
Szenario 1: Forschungsfokus;Kleine Arten;Ulmus ‘New Horizon’ (Hybridulme);0,63369
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Zelkova serrata (Japanische Zelkove);0,62138
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Ostrya carpinifolia (Hopfenbuche);0,59510
Szenario 1: Forschungsfokus;Grosskronige Arten;Tilia tomentosa (Silber-Linde);0,59083
Szenario 1: Forschungsfokus;Grosskronige Arten;Liriodendron tulipifera (Tulpenbaum);0,58262
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Parrotia persica (Eisenholzbaum);0,56686
Szenario 1: Forschungsfokus;Kleine Arten;Cornus mas (Kornelkirsche);0,49321
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Aesculus flava (Gelbe Rosskastanie);0,48260
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Corylus colurna (Baumhasel);0,47010
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Celtis australis (Südlicher Zürgelbaum);0,43525
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Gleditsia triacanthos ‘Skyline’ (dornenlos);0,42661
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Tilia cordata (Winterlinde);0,42444
Szenario 1: Forschungsfokus;Kleine Arten;Prunus padus ‘Schloss Tiefurt’ (Traubenkirsche);0,38930
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Liquidambar styraciflua ‘Worplesdon’ (Amberbaum);0,38795
Szenario 1: Forschungsfokus;Kleine Arten;Acer campestre ‘Elsrijk’ (Feldahorn);0,38583
Szenario 1: Forschungsfokus;Kleine Arten;Sorbus latifolia ‘Henk Vink’ (Breitblättrige Mehlbeere);0,37629
Szenario 1: Forschungsfokus;Kleine Arten;Sorbus aria ‘Magnifica’ (Mehlbeere);0,35301
Szenario 1: Forschungsfokus;Kleine Arten;Malus tschonoskii (Woll-Apfel);0,32530
Szenario 1: Forschungsfokus;Mittelgrosse Arten;Koelreuteria paniculata (Blasenbaum);0,32123
Szenario 1: Forschungsfokus;Kleine Arten;Pyrus calleryana ‘Chanticleer’ (Chinesische Zierbirne);0,31313
Szenario 1: Forschungsfokus;Kleine Arten;Amelanchier lamarckii (Felsenbirne);0,13760
Szenario 2: Radikale Vermeidung;Grosskronige Arten;Quercus petraea (Traubeneiche);0,96818
Szenario 2: Radikale Vermeidung;Grosskronige Arten;Quercus robur (Stieleiche);0,96250
Szenario 2: Radikale Vermeidung;Grosskronige Arten;Tilia × europaea ‘Pallida’ (Kaiser-Linde, Holländische Linde);0,74760
Szenario 2: Radikale Vermeidung;Grosskronige Arten;Tilia tomentosa (Silber-Linde);0,73792
Szenario 2: Radikale Vermeidung;Grosskronige Arten;Liriodendron tulipifera (Tulpenbaum);0,71506
Szenario 2: Radikale Vermeidung;Mittelgrosse Arten;Ostrya carpinifolia (Hopfenbuche);0,70559
Szenario 2: Radikale Vermeidung;Mittelgrosse Arten;Zelkova serrata (Japanische Zelkove);0,70514
Szenario 2: Radikale Vermeidung;Mittelgrosse Arten;Juglans nigra (Schwarznuss);0,69573
Szenario 2: Radikale Vermeidung;Mittelgrosse Arten;Parrotia persica (Eisenholzbaum);0,69147
