belagskategorie;option;MCA_gesamtscore
Sickerbeläge;Chaussierung;0,717007275132275
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);0,680329909161876
Asphalt;Recyclingasphalt;0,578975409836066
Sickerbeläge;Kiesrasen;0,565642007506762
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);0,512478658067797
Pflaster;Natursteinpflaster (6-10 mm Fugen);0,502346227694588
Asphalt;Heller Asphalt;0,481476939575300
Asphalt;Selbstheilender Asphalt;0,466446428571429
Sickerbeläge;Rasengittersteine;0,465406908665105
Asphalt;Sickerasphalt;0,335061906634653
