szenario;belagskategorie;option;MCA_gesamtscore
Szenario 0: Baseline (IST);Asphalt;Selbstheilender Asphalt;0,71739
Szenario 0: Baseline (IST);Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);0,68217
Szenario 0: Baseline (IST);Pflaster;Natursteinpflaster (sickerfähig, 6-10 mm Fugen);0,60801
Szenario 1: Forschungsfokus;Pflaster;Natursteinpflaster (sickerfähig, 6-10 mm Fugen);0,75910
Szenario 1: Forschungsfokus;Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);0,75439
Szenario 1: Forschungsfokus;Asphalt;Selbstheilender Asphalt;0,62234
Szenario 2: Radikale Vermeidung;Pflaster;Natursteinpflaster (sickerfähig, 6-10 mm Fugen);0,90647
Szenario 2: Radikale Vermeidung;Sickerbeläge;Chaussierung;0,82337
Szenario 2: Radikale Vermeidung;Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);0,81444
Szenario 3: Radikaler Lebenszyklus;Pflaster;Natursteinpflaster (sickerfähig, 6-10 mm Fugen);0,85946
Szenario 3: Radikaler Lebenszyklus;Asphalt;Selbstheilender Asphalt;0,84587
Szenario 3: Radikaler Lebenszyklus;Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);0,69721
