szenario;kategorie;komponente;lebensdauer;sanierungs_jahr;rang;theoretischer_bedarf;jahr_optimiert;wurde_verschoben;differenz
Szenario 0: Baseline (IST);Leitung;Abwasser (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 0: Baseline (IST);Leitung;Elektro (Rohrblock) (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 0: Baseline (IST);Leitung;Fernwärme (Techn.);60,0;60,0;0;60,0;60,0;FALSE;0,0
Szenario 0: Baseline (IST);Grosskronige Arten;Quercus petraea (Traubeneiche);100,0;100,0;1;100,0;100,0;FALSE;0,0
Szenario 0: Baseline (IST);Grosskronige Arten;Quercus robur (Stieleiche);100,0;100,0;3;100,0;100,0;FALSE;0,0
Szenario 0: Baseline (IST);Leitung;Regenwasser (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 0: Baseline (IST);Asphalt;Selbstheilender Asphalt;42,5;42,5;1;42,5;42,5;FALSE;0,0
Szenario 0: Baseline (IST);Asphalt;Selbstheilender Asphalt;42,5;85,0;1;85,0;80,0;TRUE;-5,0
Szenario 0: Baseline (IST);Grosskronige Arten;Tilia × europaea ‘Pallida’ (Kaiser-Linde, Holländische Linde);100,0;100,0;2;100,0;100,0;FALSE;0,0
Szenario 0: Baseline (IST);Leitung;Wasser (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 1: Forschungsfokus;Leitung;Abwasser (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 1: Forschungsfokus;Leitung;Elektro (Rohrblock) (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 1: Forschungsfokus;Leitung;Fernwärme (Techn.);60,0;60,0;0;60,0;60,0;FALSE;0,0
Szenario 1: Forschungsfokus;Pflaster;Natursteinpflaster (sickerfähig, 6-10 mm Fugen);45,0;45,0;1;45,0;45,0;FALSE;0,0
Szenario 1: Forschungsfokus;Pflaster;Natursteinpflaster (sickerfähig, 6-10 mm Fugen);45,0;90,0;1;90,0;80,0;TRUE;-10,0
Szenario 1: Forschungsfokus;Grosskronige Arten;Quercus petraea (Traubeneiche);100,0;100,0;1;100,0;100,0;FALSE;0,0
Szenario 1: Forschungsfokus;Grosskronige Arten;Quercus robur (Stieleiche);100,0;100,0;2;100,0;100,0;FALSE;0,0
Szenario 1: Forschungsfokus;Leitung;Regenwasser (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 1: Forschungsfokus;Grosskronige Arten;Tilia × europaea ‘Pallida’ (Kaiser-Linde, Holländische Linde);100,0;100,0;3;100,0;100,0;FALSE;0,0
Szenario 1: Forschungsfokus;Leitung;Wasser (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Leitung;Abwasser (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Leitung;Elektro (Rohrblock) (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Leitung;Fernwärme (Techn.);60,0;60,0;0;60,0;60,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Pflaster;Natursteinpflaster (sickerfähig, 6-10 mm Fugen);45,0;45,0;1;45,0;45,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Pflaster;Natursteinpflaster (sickerfähig, 6-10 mm Fugen);45,0;90,0;1;90,0;80,0;TRUE;-10,0
Szenario 2: Radikale Vermeidung;Grosskronige Arten;Quercus petraea (Traubeneiche);100,0;100,0;1;100,0;100,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Grosskronige Arten;Quercus robur (Stieleiche);100,0;100,0;2;100,0;100,0;FALSE;0,0
Szenario 2: Radikale Vermeidung;Leitung;Regenwasser (Techn.);80,0;80,0;0;80,0;80,0;FALSE;0,0
