Kategorien-Ebene;Original Kriterium (Deutsch);R-Spaltenname;Gewicht (Gi​);Begründung (Bezug zur Forschung)
FILTER;Geeignet als Stadtbaum;Filter_Stadtbaum;0;HARD FILTER: Muss erfüllt sein, um in die MCA zu gelangen.
SYSTEM-VALIDIERUNG;Grösse Baumrigolen [m3];Rigolen_Volumen_m3;0;Überprüfung des System-Fits (Wassermanagement).
1. Lebenszyklus & Konfliktvermeidung (Total: 0.48);;;;H1/H2: Langlebigkeit und Vermeidung von Infrastrukturschäden.
A. Langlebigkeit;Lebensdauer in Städten [a];LD_Jahre;0.28;Maximierung der Nutzungsdauer (Hauptfokus H1).
B. System-Konflikt;Wurzelkonflikt (Wurzelwachstum / Abstände Infrastruktur);Wurzel_Konflikt_Score;0.12;Vermeidung von Schäden an Leitungen/Belägen (H2).
C. Standort-Garantie;Klimanagepasst;KlimaResistenz_Score;0.08;Sicherstellung der Langlebigkeit trotz Klimawandel.
2. Klimafunktion & Ökologie (Total: 0.45);;;;"H3: Erfüllung ökologischer Kriterien; Multifunktionalität."
D. Kühlleistung;Multifunktionalität - Kühlung [°C];Kuehlleistung_Score;0.15;Direkter Beitrag zur Hitzeminderung (hohe Priorität).
;Kronenbreite (ausgewachsen) [m];Kronen_Durchmesser_m;0.1;Maximierung des Schattenwurfs und des Kühlpotenzials.
E. Ökosystemleistung;Multifunktionalität - Regenwasserspeicherung [l/d];Regenwasserspeicher_Score;0.1;Kernziel der Wasserbewirtschaftung.
;Biodiversitäts Index [1-5];Biodiversitaet_Score;0.05;Beitrag zur Artenvielfalt (H3).
;Multifunktionalität - CO2​-Bindung [kg CO2​/a];CO2_Bindung_kg;0.05;Beitrag zur CO2​-Speicherung.
3. Betrieb & Wirtschaftlichkeit (Total: 0.07);;;;Reduzierung der operativen Kosten.
F. Unterhalt;Pflegeaufwand;Pflege_Score;0.07;Reduktion der operativen Kosten.
GESAMT-SUMME (9 gewichtete Kriterien + Filter);;;1;
