Belagskategorie;Option_ID;lebensdauer;versickerung;oberflaechentemperatur;befahrbarkeit;kosten;unterhalt;co2;graueEnergie;recyclingfaehigkeit;lokaleMaterialien;modulareErneuerbarkeit;barrierefreiheit
Asphalt;Recyclingasphalt;22.5;1;58.4;5;100;4;45;295;0.3;1;1;5
Asphalt;Sickerasphalt;27.5;0.35;55.5;3;100;6.5;60;345;0.2;0.65;1;3
Asphalt;Heller Asphalt;17.5;1;54;5;110;4;50;331;0.3;0.6;1;5
Asphalt;Selbstheilender Asphalt;42.5;1;58.4;5;138.5;2;72.5;375;0.2;0.5;1;5
Pflaster;Natursteinpflaster (6-10 mm Fugen);50;0.6;47.5;3;350;5;60;270;1;0.4;5;3
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);35;1;57.5;4;100;4;55;135;0.4;0.8;5;5
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);30;0.35;50;3;125;7;50;175;0.4;0.8;5;3
Sickerbeläge;Chaussierung;17.5;0.5;46.5;1;50;3;17.5;70;1;0.95;5;1
Sickerbeläge;Kiesrasen;15;0.2;49;3;95;9;25;100;1;0.9;3;1
Sickerbeläge;Rasengittersteine;25;0.4;26;3;100;6;45;137.5;0.4;0.8;3;3
