Belagskategorie;Belagsart;Lebensdauer [a];Versickerungs-Leistung [ψ];Multifunktionalität - Oberflächentemperatur [°C] ;Multifunktionalität - Befahrbarkeit;Kosten [CHF/m²];Unterhaltskosten [CHF/m²a];Ökobilanz - CO₂-Emissionen [kg CO₂-eq/m²];Ökobilanz - Graue Energie [kWh/m²];Recyclingfähigkeit [Index 0-1];Lokale Materialien [%];Modulare Erneuerbarkeit;Barrierefreiheit;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asphalt;Recyclingasphalt;20-25;1;58.4;hoch;90-110;3–5;45;280-310;0.3;60–80;nein;hoch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asphalt;Sickerasphalt;25–30;0.3–0.4;55–56;eingeschränkt;>100;5–8;60;~ 330-360;0.2;60–70;nein;mässig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asphalt;Heller Asphalt;15–20 ;1;53–55;hoch;100–120;3–5;50;331;0.2-0.4;50–70;nein;hoch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asphalt;Selbstheilender Asphalt;40-45;1;<58.4;hoch;115–160;2;65-80;350-400;<0.2;40-60;nein;hoch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pflaster;Natursteinpflaster (6-10 mm Fugen);40–60;0.6;45-50;eingeschränkt;315–385;4–6;55-65;260-280;1;20–60;ja;mässig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pflaster;Betonpflastersteine (geschlossen, 2-4 mm Fugen);30-40;1;55-60;gut;90-110;3–5;50-60;120-150;0.3-0.5;70–90;ja;hoch;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Pflaster;Ökopflaster (sickerfähig, 6-10 mm Fugen);25–35;0.35;48–52;eingeschränkt;100–150;6–8;40–60;150-200;0.3-0.5;70-90;ja;mässig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sickerbeläge;Chaussierung;15–20;0.5;45-48;nicht befahrbar;40–60;2–4;15-20;60-80;1;90–100;ja;niedrig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sickerbeläge;Kiesrasen;10–20;0.2;48–50;eingeschränkt;70–120;8–10;20–30;80-120;1;90–100;bedingt;niedrig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Sickerbeläge;Rasengittersteine;20–30;0.3–0.5;45–48;eingeschränkt;80–120;5–7;40–50;125-150;0.3-0.5;70–90;bedingt;mässig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
